Team,W,D,L,Diff,Goal,Opponent Goal,Rank,wk,Season
Chelsea,1,0,0,4,4,0,1,1,2000
,1,0,0,1,3,2,2,1,2000
Arsenal,1,0,0,1,2,1,3,1,2000
Liverpool,1,0,0,1,2,1,4,1,2000
Aston Villa,1,0,0,1,1,0,5,1,2000
Bradford City,1,0,0,1,1,0,6,1,2000
Southampton,1,0,0,1,1,0,7,1,2000
West Ham,1,0,0,1,1,0,8,1,2000
Everton,0,1,0,0,1,1,9,1,2000
Manchester Utd,0,1,0,0,1,1,10,1,2000
Derby County,0,1,0,0,0,0,11,1,2000
Leeds United,0,1,0,0,0,0,12,1,2000
Watford,0,0,1,-1,2,3,13,1,2000
Leicester City,0,0,1,-1,1,2,14,1,2000
,0,0,1,-1,1,2,15,1,2000
Coventry City,0,0,1,-1,0,1,16,1,2000
Middlesbrough,0,0,1,-1,0,1,17,1,2000
Newcastle Utd,0,0,1,-1,0,1,18,1,2000
Tottenham,0,0,1,-1,0,1,19,1,2000
Sunderland,0,0,1,-4,0,4,20,1,2000
Aston Villa,2,0,0,4,4,0,1,2,2000
Arsenal,2,0,0,2,4,2,2,2,2000
Liverpool,2,0,0,2,3,1,3,2,2000
Chelsea,1,1,0,4,5,1,4,2,2000
Manchester Utd,1,1,0,4,5,1,5,2,2000
Leeds United,1,1,0,3,3,0,6,2,2000
Bradford City,1,1,0,1,2,1,7,2,2000
Tottenham,1,0,1,1,3,2,8,2,2000
,1,0,1,0,5,5,9,2,2000
Middlesbrough,1,0,1,0,3,3,10,2,2000
Leicester City,1,0,1,0,2,2,11,2,2000
West Ham,1,0,1,0,1,1,12,2,2000
Sunderland,1,0,1,-2,2,4,13,2,2000
Southampton,1,0,1,-2,1,3,14,2,2000
Derby County,0,1,1,-1,1,2,15,2,2000
Everton,0,1,1,-3,1,4,16,2,2000
Coventry City,0,0,2,-2,0,2,17,2,2000
Watford,0,0,2,-3,2,5,18,2,2000
Newcastle Utd,0,0,2,-3,1,4,19,2,2000
,0,0,2,-5,1,6,20,2,2000
Manchester Utd,2,1,0,6,7,1,1,3,2000
Aston Villa,2,1,0,4,6,2,2,3,2000
Arsenal,2,1,0,2,4,2,3,3,2000
Middlesbrough,2,0,1,2,6,4,4,3,2000
Tottenham,2,0,1,2,6,4,5,3,2000
Liverpool,2,0,1,1,3,2,6,3,2000
Southampton,2,0,1,0,5,5,7,3,2000
Chelsea,1,2,0,4,7,3,8,3,2000
Bradford City,1,2,0,1,3,2,9,3,2000
Leeds United,1,1,1,1,3,2,10,3,2000
,1,1,1,0,6,6,11,3,2000
Leicester City,1,1,1,0,4,4,12,3,2000
West Ham,1,1,1,0,3,3,13,3,2000
Sunderland,1,1,1,-2,2,4,14,3,2000
Watford,1,0,2,-2,3,5,15,3,2000
Coventry City,0,1,2,-2,1,3,16,3,2000
Derby County,0,1,2,-3,2,5,17,3,2000
Everton,0,1,2,-4,3,7,18,3,2000
,0,1,2,-5,2,7,19,3,2000
Newcastle Utd,0,0,3,-5,3,8,20,3,2000
Manchester Utd,3,1,0,7,9,2,1,4,2000
Tottenham,3,0,1,3,8,5,2,4,2000
Middlesbrough,3,0,1,3,7,4,3,4,2000
Chelsea,2,2,0,5,8,3,4,4,2000
Aston Villa,2,1,1,3,6,3,5,4,2000
Leeds United,2,1,1,2,5,3,6,4,2000
Arsenal,2,1,1,1,5,4,7,4,2000
West Ham,2,1,1,1,5,4,8,4,2000
Liverpool,2,0,2,0,3,3,9,4,2000
Watford,2,0,2,-1,4,5,10,4,2000
Southampton,2,0,2,-3,6,9,11,4,2000
,1,2,1,0,9,9,12,4,2000
Bradford City,1,2,1,0,3,3,13,4,2000
Coventry City,1,1,2,0,3,3,14,4,2000
Everton,1,1,2,-1,7,8,15,4,2000
Leicester City,1,1,2,-1,5,6,16,4,2000
Sunderland,1,1,2,-3,3,6,17,4,2000
Newcastle Utd,0,1,3,-5,6,11,18,4,2000
Derby County,0,1,3,-5,2,7,19,4,2000
,0,1,3,-6,3,9,20,4,2000
Manchester Utd,4,1,0,8,11,3,1,5,2000
Chelsea,3,2,0,6,9,3,2,5,2000
Aston Villa,3,1,1,4,7,3,3,5,2000
Arsenal,3,1,1,3,7,4,4,5,2000
West Ham,3,1,1,3,7,4,5,5,2000
Tottenham,3,0,2,2,8,6,6,5,2000
Liverpool,3,0,2,1,5,4,7,5,2000
Middlesbrough,3,0,2,0,7,7,8,5,2000
Everton,2,1,2,3,11,8,9,5,2000
Leicester City,2,1,2,2,8,6,10,5,2000
Leeds United,2,1,2,1,6,5,11,5,2000
Sunderland,2,1,2,-2,5,7,12,5,2000
Watford,2,0,3,-2,4,6,13,5,2000
Southampton,2,0,3,-5,6,11,14,5,2000
Bradford City,1,2,2,-2,3,5,15,5,2000
,1,2,2,-4,9,13,16,5,2000
Coventry City,1,1,3,-1,4,5,17,5,2000
Derby County,1,1,3,-3,4,7,18,5,2000
Newcastle Utd,0,1,4,-6,7,13,19,5,2000
,0,1,4,-8,3,11,20,5,2000
Manchester Utd,5,1,0,12,16,4,1,6,2000
Chelsea,4,2,0,7,10,3,2,6,2000
West Ham,4,1,1,6,10,4,3,6,2000
Aston Villa,4,1,1,5,8,3,4,6,2000
Liverpool,4,0,2,3,7,4,5,6,2000
Leicester City,3,1,2,3,9,6,6,6,2000
Leeds United,3,1,2,2,8,6,7,6,2000
Arsenal,3,1,2,1,7,6,8,6,2000
Tottenham,3,0,3,1,9,8,9,6,2000
Middlesbrough,3,0,3,-1,7,8,10,6,2000
Southampton,3,0,3,-3,8,11,11,6,2000
Sunderland,2,2,2,-2,6,8,12,6,2000
Everton,2,1,3,2,11,9,13,6,2000
Derby County,2,1,3,-2,5,7,14,6,2000
Watford,2,0,4,-3,4,7,15,6,2000
Coventry City,1,2,3,-1,5,6,16,6,2000
,1,2,3,-5,9,14,17,6,2000
Bradford City,1,2,3,-5,3,8,18,6,2000
Newcastle Utd,0,1,5,-10,8,18,19,6,2000
,0,1,5,-10,3,13,20,6,2000
Manchester Utd,6,1,0,13,19,6,1,7,2000
Chelsea,5,2,0,8,11,3,2,7,2000
West Ham,5,1,1,7,11,4,3,7,2000
Leeds United,4,1,2,3,12,9,4,7,2000
Arsenal,4,1,2,3,10,7,5,7,2000
Aston Villa,4,1,2,3,9,6,6,7,2000
Liverpool,4,0,3,2,9,7,7,7,2000
Middlesbrough,4,0,3,0,10,10,8,7,2000
Sunderland,3,2,2,0,8,8,9,7,2000
Everton,3,1,3,4,13,9,10,7,2000
Tottenham,3,1,3,1,10,9,11,7,2000
Leicester City,3,1,3,1,9,8,12,7,2000
Southampton,3,0,4,-4,10,14,13,7,2000
Derby County,2,2,3,-2,7,9,14,7,2000
Watford,2,0,5,-4,4,8,15,7,2000
,1,3,3,-5,11,16,16,7,2000
Bradford City,1,3,3,-5,4,9,17,7,2000
Coventry City,1,2,4,-2,8,10,18,7,2000
Newcastle Utd,0,1,6,-11,8,19,19,7,2000
,0,1,6,-12,3,15,20,7,2000
Manchester Utd,6,2,0,13,20,7,1,8,2000
Chelsea,5,2,1,7,11,4,2,8,2000
West Ham,5,1,2,6,11,5,3,8,2000
Leeds United,5,1,2,5,14,9,4,8,2000
Arsenal,5,1,2,4,11,7,5,8,2000
Aston Villa,5,1,2,4,10,6,6,8,2000
Sunderland,4,2,2,5,13,8,7,8,2000
Everton,4,1,3,5,14,9,8,8,2000
Tottenham,4,1,3,2,13,11,9,8,2000
Liverpool,4,1,3,2,11,9,10,8,2000
Middlesbrough,4,0,4,-2,10,12,11,8,2000
Leicester City,3,2,3,1,11,10,12,8,2000
Watford,3,0,5,-3,5,8,13,8,2000
Southampton,3,0,5,-5,10,15,14,8,2000
Derby County,2,2,4,-7,7,14,15,8,2000
