Team,Values,When,Season
Arsenal FC,-,summer,2001
Aston Villa,-,summer,2001
Derby County,-,summer,2001
Chelsea FC,-,summer,2001
Everton FC,-,summer,2001
Middlesbrough FC,-,summer,2001
Liverpool FC,-,summer,2001
Ipswich Town,-,summer,2001
Tottenham Hotspur,-,summer,2001
Newcastle United,-,summer,2001
Southampton FC,-,summer,2001
Manchester United,-,summer,2001
Manchester City,-,summer,2001
Coventry City,-,summer,2001
Sunderland AFC,-,summer,2001
Leicester City,-,summer,2001
Charlton Athletic,-,summer,2001
Bradford City,-,summer,2001
West Ham United,-,summer,2001
Leeds United,-,summer,2001
Arsenal FC,-,winter,2001
Aston Villa,-,winter,2001
Derby County,-,winter,2001
Chelsea FC,-,winter,2001
Everton FC,-,winter,2001
Middlesbrough FC,-,winter,2001
Liverpool FC,-,winter,2001
Ipswich Town,-,winter,2001
Tottenham Hotspur,-,winter,2001
Newcastle United,-,winter,2001
Southampton FC,-,winter,2001
Manchester United,-,winter,2001
Manchester City,-,winter,2001
Coventry City,-,winter,2001
Sunderland AFC,-,winter,2001
Leicester City,-,winter,2001
Charlton Athletic,-,winter,2001
Bradford City,-,winter,2001
West Ham United,-,winter,2001
Leeds United,-,winter,2001
West Ham United,-,summer,2002
Arsenal FC,-,summer,2002
Leeds United,-,summer,2002
Derby County,-,summer,2002
Aston Villa,-,summer,2002
Everton FC,-,summer,2002
Chelsea FC,-,summer,2002
Liverpool FC,-,summer,2002
Middlesbrough FC,-,summer,2002
Tottenham Hotspur,-,summer,2002
Ipswich Town,-,summer,2002
Blackburn Rovers,-,summer,2002
Newcastle United,-,summer,2002
Southampton FC,-,summer,2002
Fulham FC,-,summer,2002
Sunderland AFC,-,summer,2002
Manchester United,-,summer,2002
Bolton Wanderers,-,summer,2002
Leicester City,-,summer,2002
Charlton Athletic,-,summer,2002
West Ham United,-,winter,2002
Arsenal FC,-,winter,2002
Leeds United,-,winter,2002
Derby County,-,winter,2002
Aston Villa,-,winter,2002
Everton FC,-,winter,2002
Chelsea FC,-,winter,2002
Liverpool FC,-,winter,2002
Middlesbrough FC,-,winter,2002
Tottenham Hotspur,-,winter,2002
Ipswich Town,-,winter,2002
Blackburn Rovers,-,winter,2002
Newcastle United,-,winter,2002
Southampton FC,-,winter,2002
Fulham FC,-,winter,2002
Sunderland AFC,-,winter,2002
Manchester United,-,winter,2002
Bolton Wanderers,-,winter,2002
Leicester City,-,winter,2002
Charlton Athletic,-,winter,2002
Arsenal FC,-,summer,2003
Liverpool FC,-,summer,2003
Manchester United,-,summer,2003
