Weekend,Month,Top Referee,Outcome,Home Avg Goal,Home Avg Opp Goal,Home Diff Goal,Home Rank,Last Season Home,Home Values,Home Win Percent,Home Lose Percent,Avg Goal (diff),Avg Opp Goal (diff),Diff Goal (diff),Rank (diff),Last Season (diff),Values (diff),Win Percent (diff),Lose Percent (diff),Top Win Home,Top Draw Home,Top Lose Home,Top Win Away,Top Draw Away,Top Lose Away
1,8,0,1,0.0,0.0,0,0,19,282.9,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,-2,94.99499999999998,0.0,0.0,1,0,0,0,0,0
1,8,0,0,0.0,0.0,0,0,11,50.4,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,4,-156.35,0.0,0.0,0,0,0,0,0,0
1,8,0,0,0.0,0.0,0,0,14,229.5,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,9,111.75,0.0,0.0,0,0,0,0,1,0
1,8,0,1,0.0,0.0,0,0,1,455.35,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,-7,321.45000000000005,0.0,0.0,1,0,0,0,0,1
1,8,0,-1,0.0,0.0,0,0,16,187.905,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,-1,93.525,0.0,0.0,0,0,0,0,0,0
1,8,0,1,0.0,0.0,0,0,20,97.025,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,17,-283.6,0.0,0.0,0,0,1,1,1,0
1,8,0,1,0.0,0.0,0,0,4,331.525,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,-2,143.61999999999998,0.0,0.0,1,0,0,0,0,0
1,8,0,1,0.0,0.0,0,0,12,187.905,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,3,3.1149999999999807,0.0,0.0,0,0,0,0,1,1
1,8,0,1,0.0,0.0,0,0,21,71.47,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,0,-398.405,0.0,0.0,0,0,0,1,0,0
1,8,0,1,0.0,0.0,0,0,10,423.125,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,-8,271.075,0.0,0.0,1,0,0,0,0,1
1,8,0,1,0.0,0.0,0,13,3,380.625,0.3333333333333333,0.3333333333333333,0.0,0.0,0,6,-1,49.10000000000002,0.0,0.0,1,0,0,1,0,0
0,8,0,0,0.0,0.0,0,17,21,187.905,0.3333333333333333,0.3333333333333333,0.0,0.0,0,11,11,-235.22,0.0,0.0,0,0,0,1,0,0
0,8,0,0,0.0,0.0,0,3,17,94.38,0.3333333333333333,0.3333333333333333,0.0,0.0,0,-1,-2,-188.51999999999998,0.0,0.0,0,0,0,1,0,1
0,8,1,1,0.0,0.0,0,14,6,187.905,0.3333333333333333,0.3333333333333333,0.0,0.0,0,12,5,-267.44500000000005,0.0,0.0,0,0,0,1,0,0
0,8,0,-1,0.0,0.0,0,15,8,133.9,0.3333333333333333,0.3333333333333333,0.0,0.0,0,3,-6,-95.6,0.0,0.0,0,0,1,0,0,0
0,8,0,1,0.0,0.0,0,18,9,184.79000000000002,0.3333333333333333,0.3333333333333333,0.0,0.0,0,17,-12,113.32000000000002,0.0,0.0,0,1,0,0,0,0
0,8,0,-1,0.0,0.0,0,10,7,206.75,0.3333333333333333,0.3333333333333333,0.0,0.0,0,-6,-9,18.845,0.0,0.0,0,0,0,0,0,0
0,8,0,1,0.0,0.0,0,19,18,152.05,0.3333333333333333,0.3333333333333333,0.0,0.0,0,10,7,101.65,0.0,0.0,0,0,1,0,0,0
0,8,0,1,0.0,0.0,0,20,21,469.875,0.3333333333333333,0.3333333333333333,0.0,0.0,0,12,1,372.85,0.0,0.0,1,0,0,0,0,0
1,8,0,0,3.0,0.0,3,7,9,184.79000000000002,1.0,0.0,1.0,-3.0,4,-9,-2,134.39000000000001,1.0,-1.0,0,1,0,0,0,0
1,8,0,-1,1.0,1.0,0,2,17,94.38,0.0,0.0,-1.0,0.0,-1,1,5,-93.525,-1.0,0.0,0,0,0,0,0,0
1,8,0,0,0.0,1.0,-1,20,8,133.9,0.0,1.0,-1.0,0.0,-1,16,-2,-289.225,0.0,1.0,0,0,1,1,0,0
1,8,0,1,2.0,0.0,2,8,3,380.625,1.0,0.0,2.0,-3.0,5,2,-18,309.155,1.0,-1.0,1,0,0,0,0,0
1,8,0,1,3.0,2.0,1,12,18,152.05,1.0,0.0,2.0,1.0,1,9,-1,-130.84999999999997,1.0,0.0,0,0,1,1,0,1
1,8,0,0,2.0,0.0,2,9,6,187.905,1.0,0.0,1.0,0.0,1,4,-8,-41.595,0.0,0.0,0,0,0,0,0,0
1,8,0,0,1.0,2.0,-1,17,7,206.75,0.0,1.0,1.0,0.0,1,3,3,-124.77499999999998,0.0,0.0,0,0,0,1,0,0
1,8,0,-1,4.0,2.0,2,15,21,469.875,1.0,0.0,2.0,1.0,1,4,5,281.97,0.0,0.0,1,0,0,0,0,0
1,8,0,1,1.0,1.0,0,19,21,187.905,0.0,0.0,-1.0,-3.0,2,6,1,90.88,0.0,-1.0,0,0,0,0,0,0
1,8,0,0,1.0,2.0,-1,18,5,117.75,0.0,1.0,1.0,0.0,1,8,4,-337.6,0.0,0.0,0,1,1,1,0,0
0,9,0,0,1.0,0.0,1,15,20,97.025,1.0,0.0,-1.0,-4.0,3,-5,12,-36.875,1.0,-1.0,0,0,1,0,0,1
0,9,0,1,3.0,1.0,2,11,19,282.9,1.0,0.0,3.0,0.0,4,4,10,98.10999999999996,1.0,-1.0,1,0,0,0,1,1
0,9,0,1,2.0,0.0,2,5,10,423.125,1.0,0.0,2.0,-1.0,3,-4,4,235.22,1.0,-1.0,1,0,0,0,0,0
0,9,0,-1,2.0,0.0,2,1,12,187.905,1.0,0.0,2.0,-2.0,6,-15,-9,-281.97,1.0,-1.0,0,0,0,1,0,0
0,9,0,1,0.0,0.0,0,6,14,229.5,0.0,0.0,-1.0,-3.0,2,-7,-7,41.595,0.0,-1.0,0,0,0,0,0,0
0,9,0,0,2.0,2.0,0,17,11,50.4,0.0,0.0,0.5,1.5,-2,9,-6,-43.98,-1.0,0.0,0,0,0,0,0,0
0,9,0,-1,1.0,3.0,-2,4,16,187.905,0.0,1.0,1.0,2.0,0,1,-2,35.85499999999999,0.0,0.0,0,0,0,0,0,1
0,9,1,0,4.0,0.0,4,14,21,71.47,1.0,0.0,2.0,-2.0,4,-4,14,-135.28,1.0,0.0,0,0,0,0,0,0
0,9,0,1,1.0,0.0,1,12,4,331.525,1.0,0.0,1.0,0.0,1,-7,-1,213.77499999999998,1.0,0.0,1,0,0,0,1,0
0,9,0,0,4.0,2.0,2,10,1,455.35,1.0,0.0,4.0,1.0,3,8,-2,74.72500000000002,1.0,-1.0,1,0,0,1,1,0
1,9,0,0,2.5,1.0,3,2,18,152.05,1.0,0.0,2.0,-0.5,5,-9,17,-303.3,1.0,-0.5,0,0,1,1,0,0
1,9,0,1,4.0,0.0,8,3,10,423.125,1.0,0.0,3.0,-2.5,11,-12,-10,326.1,1.0,-1.0,1,0,0,0,0,0
1,9,0,-1,1.0,0.5,1,14,21,187.905,0.5,0.0,0.5,-1.0,3,-6,16,70.155,0.5,-0.5,0,0,0,0,1,0
1,9,1,1,1.0,0.5,1,4,14,229.5,0.5,0.0,-0.5,-1.0,1,-14,7,22.75,0.5,0.0,0,0,0,0,0,0
1,9,0,0,0.5,2.5,-4,9,16,187.905,0.0,1.0,-1.5,1.5,-6,8,4,0.0,-1.0,1.0,0,0,0,0,0,0
